;Length;Spec_Length;Energy;Lokomotive;Railwaiy_Carriages;Passengers
Albinija;447;16;0,4;72;131;3,4
Austrija;5672;68;4,3;1327;3436;193,4
Belarus;5547;27;15,7;1072;3200;134,1
Belgium;3380;111;2;967;3233;141,7
Bulgaria;4293;39;10,3;813;1827;66,1
Czech Rep;9435;120;7,1;2945;5504;219,2
Denmark;2349;55;2,5;143;1534;144,3
Estonia;1020;23;10,4;135;483;6,7
Finland;5860;17;2,2;648;947;47
France;31852;58;2,2;5246;15764;786,5
Georgia;1575;23;29,3;423;1243;3,9
Germany;40826;114;3,3;8807;18163;1392,5
Greece;2474;19;0,7;234;869;12,8
Hungary;7715;83;7,8;1356;4009;155,4
Ireland;1954;28;2,7;114;334;27,9
Israel;610;29;2;48;137;5,5
Italia;16014;53;1,5;3140;13068;468,3
Latvia;2413;37;10,8;288;768;30,1
Lithuania;1997;31;7,5;313;626;13,2
Luxembourg;274;106;0,7;76;146;11,1
Netherlands;2739;66;1,3;555;2691;306,5
Norway;4021;12;1,5;201;814;40,7
Poland;23420;75;6,6;5936;11309;434,2
Portugal;2850;31;1,5;312;1394;177,1
Romania;11385;48;7,3;4272;6168;212,8
Slovakia;3673;75;7,2;1298;2226;74,3
Slovenia;1201;59;1,8;210;49;13,7
Spain;12284;27;1,9;881;4448;377,9
Sweden;9821;24;3,6;636;1589;99
Switherland;2989;72;3,4;1393;3567;256,3
Turkey;10508;14;2,4;714;1487;96,3
Ukraine;22602;37;34,8;6156;11466;610,9
UnKIngdom;17001;71;2,5;1888;10777;738,1
