X1;X2;X3;X4;X5;X6;X7;X8;Y
2.000;1.000;62.600;21.400;11.000;1.000;1.000;0.000;34.400
1.000;1.000;45.300;20.600;10.400;1.000;1.000;8.000;24.700
2.000;1.000;56.400;29.700;9.400;1.000;1.000;8.000;30.800
1.000;1.000;37.000;17.800;8.300;0.000;1.000;0.000;15.900
3.000;1.000;67.450;43.500;8.300;0.000;1.000;0.000;29.000
1.000;1.000;37.000;17.800;8.300;0.000;1.000;3.000;15.400
3.000;1.000;69.000;42.400;8.300;0.000;1.000;3.000;28.600
1.000;1.000;40.000;20.000;8.300;0.000;0.000;0.000;15.600
3.000;1.000;69.100;41.300;8.300;0.000;1.000;0.000;27.700
2.000;1.000;68.100;35.400;13.000;1.000;1.000;20.000;34.100
2.000;1.000;75.300;41.400;12.100;1.000;1.000;20.000;37.700
3.000;1.000;83.700;48.500;12.100;1.000;1.000;20.000;41.900
1.000;1.000;48.700;22.300;12.400;1.000;1.000;20.000;24.400
1.000;1.000;39.900;18.000;8.100;1.000;0.000;0.000;21.300
2.000;1.000;68.600;35.500;17.000;1.000;1.000;12.000;36.700
1.000;1.000;39.000;20.000;9.200;1.000;0.000;0.000;21.500
2.000;1.000;48.600;31.000;8.000;1.000;0.000;0.000;26.400
3.000;1.000;98.000;56.000;22.000;1.000;0.000;0.000;53.900
2.000;1.000;68.500;30.700;8.300;1.000;1.000;6.000;34.200
2.000;1.000;71.100;36.200;13.300;1.000;1.000;6.000;35.600
3.000;1.000;68.000;41.000;8.000;1.000;1.000;12.000;34.000
1.000;1.000;38.000;19.000;7.400;1.000;1.000;12.000;19.000
2.000;1.000;93.200;49.500;14.000;1.000;1.000;12.000;46.600
3.000;2.000;117.000;55.200;25.000;1.000;1.000;12.000;58.500
1.000;2.000;42.000;21.000;10.200;1.000;0.000;12.000;24.200
2.000;2.000;62.000;35.000;11.000;1.000;0.000;12.000;35.700
3.000;2.000;89.000;52.300;11.500;1.000;1.000;12.000;51.200
4.000;2.000;132.000;89.600;11.000;1.000;1.000;12.000;75.900
1.000;2.000;40.800;19.200;10.100;1.000;1.000;6.000;21.200
2.000;2.000;59.200;31.900;11.200;1.000;1.000;6.000;30.800
3.000;2.000;65.400;38.900;9.300;1.000;1.000;6.000;34.000
2.000;2.000;60.200;36.300;10.900;1.000;1.000;12.000;31.900
3.000;2.000;82.200;49.700;13.800;1.000;1.000;12.000;43.600
3.000;2.000;98.400;52.300;15.300;1.000;1.000;12.000;52.200
3.000;3.000;76.700;44.700;8.000;1.000;1.000;0.000;43.100
1.000;3.000;38.700;20.000;10.200;1.000;1.000;6.000;25.000
2.000;3.000;56.400;32.700;10.100;1.000;1.000;6.000;35.200
3.000;3.000;76.700;44.700;8.000;1.000;1.000;6.000;40.800
1.000;3.000;38.700;20.000;10.200;1.000;0.000;0.000;18.200
1.000;3.000;41.500;20.000;10.200;1.000;1.000;0.000;20.100
2.000;3.000;48.800;28.500;8.000;1.000;0.000;0.000;22.700
2.000;3.000;57.400;33.500;10.100;1.000;1.000;0.000;27.600
3.000;3.000;76.700;44.700;8.000;1.000;1.000;0.000;36.000
1.000;4.000;37.000;17.500;8.300;1.000;1.000;7.000;17.800
2.000;4.000;54.000;30.500;8.300;0.000;1.000;7.000;25.900
3.000;4.000;68.000;42.500;8.300;0.000;1.000;7.000;32.600
1.000;4.000;40.500;16.000;11.000;0.000;1.000;3.000;19.800
2.000;4.000;61.000;31.000;11.000;0.000;1.000;3.000;29.900
3.000;4.000;80.000;45.600;11.000;0.000;1.000;3.000;39.200
1.000;3.000;52.000;21.200;11.200;1.000;1.000;18.000;22.400
2.000;3.000;78.100;40.000;11.600;1.000;1.000;18.000;35.200
3.000;3.000;91.600;53.800;16.000;1.000;0.000;18.000;41.200
1.000;4.000;39.900;19.300;8.400;0.000;1.000;6.000;17.800
2.000;4.000;56.200;31.400;11.100;0.000;1.000;6.000;25.000
3.000;4.000;79.100;42.400;15.500;0.000;1.000;6.000;35.200
4.000;4.000;91.600;55.200;9.400;0.000;1.000;6.000;40.800
